Institute,Course,Category,Mode,Level,Duration_Hours,Country,City,Certification_provided,Practice_Assignments,Doubt_Sessions,Internship_Provided,Placement_Assistance,rating,Recorded_videos,Trainer_Grade,Price
mindasys,Administration of IBM WebSphere DataPower Gateway V7,Information technology,Online,Advance,96,Malaysia,Kuala lumpur,Yes,No,Yes,No,No,4.5,Yes,High,90000
mindasys,Oracle Big Data Fundamentals Ed 1,Information technology,Online,Beginner,120,Malaysia,Kuala lumpur,Yes,No,Yes,No,No,4,Yes,High,52000
mindasys,Crisis Communication Manager,Information technology,Online,Advance,50,Malaysia,Kuala lumpur,Yes,No,Yes,No,No,3.5,Yes,High,61000
mindasys,Networker Installation Configuration and Administration,Information technology,Online,Advance,120,Malaysia,Kuala lumpur,Yes,No,Yes,No,No,3,Yes,High,90000
mindasys,SAN Management,Information technology,Online,Advance,120,Malaysia,Kuala lumpur,Yes,No,Yes,No,No,4,Yes,High,98000
mindasys,MySQL 5.7 for Database Administrators,Information technology,Online,Intermediate,96,Malaysia,Kuala lumpur,Yes,No,Yes,No,No,4.5,Yes,High,58000
mindasys,MySQL 8.0 Fundamentals,Information technology,Online,Beginner,96,Malaysia,Kuala lumpur,Yes,No,Yes,No,No,4.5,Yes,High,52000
mindasys,PHP Security,Information technology,Online,Intermediate,96,Malaysia,Kuala lumpur,Yes,No,Yes,No,No,5,Yes,High,48000
TalentSprint,Data Science,IT,Both,Beginner,180,India,Hyderabad,Yes,Yes,Yes,Yes,Yes,4.5,Yes,High,95000
FITA Academy,Python with ML,Data Science,Both,Beginner,120,India,Chennai,Yes,Yes,Yes,Yes,Yes,4.5,Yes,High,30000
Softlogic Systems,Data Science with ML,IT,Both,Intermediate,120,India,Chennai,Yes,Yes,Yes,Yes,Yes,4.5,Yes,High,32000
Datamites Global,Data Science,Data Science,Online,Intermediate,400,India,Bangalore,Yes,Yes,Yes,Yes,Yes,4.8,Yes,High,58900
Eduprajna,AWS,Cloud Computing,Online,Intermediate,150,India,Bangalore,Yes,Yes,Yes,Yes,Yes,4.8,Yes,Medium,25000
Datamites Global,Visual Analytics Expert Training,Tableau,Offline,Intermediate,120,India,Bangalore,Yes,Yes,Yes,Yes,Yes,4.8,Yes,High,27455
Credo Systemz,Big Data Hadoop Training,Data Science,Both,Intermediate,100,India,Chennai,Yes,Yes,Yes,Yes,Yes,4.9,Yes,High,28000
Datamites Global,Data Science,Data Science,Offline,Intermediate,400,India,Bangalore,Yes,Yes,Yes,Yes,Yes,4.8,Yes,High,60900
DeepNeuron,MSBI,Data Science,Both,Intermediate,80,India,Chennai,Yes,Yes,Yes,Yes,Yes,4.8,Yes,High,17000
Scaler,Data Science with ML,Data Science,Online,Intermediate,520,India,Pune,Yes,Yes,Yes,Yes,Yes,4.8,Yes,High,250000
Datamites Global,AI Engineer,Artificial Intelligence,Both,Intermediate,500,India,Bangalore,Yes,Yes,Yes,Yes,Yes,4.8,Yes,High,76900
DeepNeuron,Full Stack Data Science Course,Data Science,Online,Beginner,66,India,Hyderabad,Yes,Yes,Yes,Yes,Yes,4.5,Yes,High,41999
Techsutra,Data Science,Data Science,Offline,Beginner,100,India,Mumbai,Yes,Yes,Yes,Yes,Yes,4,No,Medium,30000
Cloud X lab,Python,Data Science,Both,Beginner,30,India,Bangalore,Yes,Yes,Yes,No,No,4.2,Yes,High,7000
Data Gyan,Data analytics,Data Science,Both,Intermediate,150,India,Bangalore,Yes,Yes,Yes,Yes,Yes,4.5,Yes,Medium,30000
Data Gyan,Data Science with ML,Data Science,Both,Intermediate,160,India,Bangalore,Yes,Yes,Yes,Yes,Yes,4.5,Yes,Medium,35000
BEPEC,Data Science,Data Science,Both,Beginner,480,India,Bangalore,Yes,Yes,Yes,Yes,Yes,4.8,Yes,High,29599
BEPEC,AI Engineer,Data Science,Both,Beginner,720,India,Bangalore,Yes,Yes,Yes,Yes,Yes,4.8,Yes,High,39599
Excelr,Data Science,Data Science,Offline,Beginner,235,India,Hyderabad,Yes,Yes,Yes,Yes,Yes,4.5,Yes,High,54999
Excelr,Data Science,Data Science,Online,Beginner,235,India,Hyderabad,Yes,Yes,Yes,Yes,Yes,4.5,Yes,High,59999
Datamites Global,Data Mining with Python,Data Science,Both,Intermediate,120,India,Bangalore,Yes,Yes,Yes,Yes,Yes,4.8,Yes,High,15000
Naresh I technologies,Core Java,IT,Online,Beginner,60,India,Chennai,Yes,Yes,Yes,No,Yes,4,Yes,Medium,25000
Naresh I technologies,Sales Force CRM training,IT,Online,Intermediate,60,India,Chennai,Yes,No,Yes,No,Yes,4,Yes,High,40000
Naresh I technologies,C Programming,IT,Offline,Beginner,50,India,Chennai,Yes,No,Yes,No,No,4,Yes,High,20000
Sipnatech,Sales Force,IT,Online,Beginner,20,India,Vijyawada,Yes,No,Yes,No,No,3.5,Yes,Low,10000
Sipnatech,Azure Devops,IT,Online,Beginner,20,India,Vijyawada,Yes,No,Yes,No,No,4,Yes,Medium,10000
Sipnatech,Testing Selenium,IT,Online,Beginner,20,India,Vijyawada,Yes,No,Yes,No,No,3.5,Yes,Medium,10000
Codegnan,Web development with Python and Django,IT,Online,Beginner,40,India,Vijyawada,Yes,No,Yes,No,Yes,3.5,Yes,Medium,7000
Codegnan,Machine learning with Python,Data science,Online,Beginner,60,India,Vijyawada,Yes,Yes,Yes,No,Yes,4,Yes,High,8500
Codegnan,Python,IT,Offline,Beginner,16,India,Vijyawada,Yes,No,Yes,No,Yes,4,Yes,Medium,6000
Palle Technologies,Python Full stack,IT,Both,Intermediate,330,India,Bangalore,Yes,Yes,Yes,No,Yes,4,Yes,Medium,35000
